epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3715.21,1.53064,2.24586,1.39699,0.46452,0.508,0.44564,0.22722,1.59233,3.34732,1.53461,0.000664,0.000664,0.000664
2,7798.98,1.47078,1.40658,1.38145,0.71443,0.638,0.70958,0.40019,1.54329,1.44593,1.47898,0.00131749,0.00131749,0.00131749
3,12041.9,1.46567,1.23885,1.3867,0.74165,0.616,0.69894,0.41653,1.45948,1.34095,1.45282,0.00195779,0.00195779,0.00195779
